title,combined
Violet Evergarden Movie,"Award Winning, Drama, Fantasy Kyoto Animation Shochiku, ABC Animation Funimation"
Banana Fish,"Action, Adventure, Drama, Suspense Delinquents, Organized Crime, Psychological MAPPA Aniplex, Dentsu, Movic, Fuji TV, Shogakukan"
Tonari no Totoro,"Adventure, Award Winning, Supernatural Studio Ghibli Tokuma Shoten, Streamline Pictures Disney Platform Distribution, GKIDS"
Tenki no Ko,"Award Winning, Drama, Fantasy, Romance CoMix Wave Films TOHO, JR East Marketing & Communications, Kadokawa, voque ting, STORY, Lawson Entertainment GKIDS"
Nichijou,"Comedy Gag Humor, School Kyoto Animation Lantis, Kadokawa Shoten, Movic, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Animation Do Funimation, Bandai Entertainment"
Ousama Ranking,"Adventure, Fantasy Wit Studio Aniplex, Dentsu, Fuji TV, Kadokawa, Bandai Spirits Funimation"
86 Part 2,"Action, Drama, Sci-Fi Mecha, Military A-1 Pictures Aniplex, Kadokawa, Bandai Spirits"
Suzumiya Haruhi no Shoushitsu,"Award Winning, Mystery, Sci-Fi, Supernatural School Kyoto Animation Kadokawa Shoten, Animation Do Funimation, Bandai Entertainment"
Kizumonogatari III: Reiketsu-hen,"Action, Mystery, Supernatural Vampire Shaft Aniplex, Kodansha Aniplex of America"
Gintama°,"Action, Comedy, Sci-Fi Gag Humor, Historical, Parody, Samurai Bandai Namco Pictures TV Tokyo, Aniplex, Dentsu Funimation, Crunchyroll"
Saiki Kusuo no Ψ-nan 2,"Comedy, Supernatural Gag Humor, School, Super Power J.C.Staff, Egg Firm TV Tokyo, Shogakukan-Shueisha Productions, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc."
Dororo,"Action, Adventure, Fantasy Historical, Mythology, Samurai Tezuka Productions, MAPPA Twin Engine Sentai Filmworks"
Tensei shitara Slime Datta Ken 2nd Season Part 2,"Action, Adventure, Comedy, Fantasy Isekai, Reincarnation 8bit Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions Crunchyroll"
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Drama, Sci-Fi White Fox Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES., Cinema Sunshine Funimation"
Horimiya,"Romance School CloverWorks Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Kanetsu Investment, My Theater D.D., Global Solutions, Mirai-Kojo Funimation"
Mushishi,"Adventure, Mystery, Slice of Life, Supernatural Adult Cast, Historical, Iyashikei Artland Avex Entertainment, Marvelous Entertainment, SKY Perfect Well Think, Delfi Sound Funimation"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Comedy, Romance Love Polygon, School feel. Marvelous Entertainment, TBS, Movic, Delfi Sound, NBCUniversal Entertainment Japan Sentai Filmworks"
Kuroko no Basket 3rd Season,"Sports School, Team Sports Production I.G Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11"
Gintama',"Action, Comedy, Sci-Fi Gag Humor, Historical, Parody, Samurai Sunrise TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha"
Yuu☆Yuu☆Hakusho,"Action, Fantasy Martial Arts, Mythology Pierrot Yomiko Advertising, Fuji TV Funimation"
Fruits Basket: The Final,"Drama, Romance, Supernatural TMS Entertainment TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN Funimation"
Baccano!,"Action, Mystery, Supernatural Adult Cast, Historical, Organized Crime Brain's Base Aniplex, Sakura Create, Happinet Pictures Funimation, Aniplex of America"
Dragon Ball Z,"Action, Adventure, Comedy, Fantasy Martial Arts, Super Power Toei Animation Fuji TV, Shueisha Funimation"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Romance Love Polygon, School feel. TBS, Marvelous AQL, NBCUniversal Entertainment Japan Sentai Filmworks"
Hotarubi no Mori e,"Award Winning, Drama, Romance, Supernatural Brain's Base TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, DAX Production"
Spy x Family Part 2,"Action, Comedy Childcare Wit Studio, CloverWorks TV Tokyo, Shogakukan-Shueisha Productions, TOHO animation, Shueisha"
Death Parade,"Drama, Supernatural, Suspense Adult Cast, High Stakes Game, Psychological Madhouse VAP, DAX Production, Nippon Television Network Funimation"
